Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Not Graduate,No,3620,0.0,1,120.0,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,6782,0.0,1,360.0,0.0,Urban,N
Female,Yes,0,Graduate,No,2484,2302.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1977,997.0,1,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,4188,0.0,2,180.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1759,3541.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,4288,3263.0,2,180.0,1.0,Urban,Y
Male,No,0,Graduate,No,4843,3806.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,13650,0.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,4652,3583.0,1,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3816,754.0,2,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,3052,1030.0,1,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,11417,1126.0,3,360.0,1.0,Urban,Y
Male,No,0,Not Graduate,Yes,7333,0.0,2,360.0,1.0,Rural,N
Male,Yes,2,Graduate,No,3800,3600.0,3,360.0,0.0,Urban,N
Male,Yes,3+,Not Graduate,No,2071,754.0,1,480.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,5316,0.0,2,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,Yes,2929,2333.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,3572,4114.0,2,0.0,0.0,Rural,N
Female,No,1,Graduate,Yes,7451,0.0,1,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,5050,0.0,2,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,14583,0.0,2,180.0,1.0,Rural,Y
Female,Yes,0,Graduate,No,3167,2283.0,2,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,2214,1398.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,5568,2142.0,2,360.0,1.0,Rural,N
Female,No,0,Graduate,No,10408,0.0,3,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,5667,2667.0,2,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,4166,0.0,1,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,2137,8980.0,2,360.0,0.0,Semiurban,Y
Male,Yes,2,Graduate,No,2957,0.0,1,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,4300,2014.0,2,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,3692,0.0,1,360.0,1.0,Rural,Y
Male,Yes,3+,Graduate,No,23803,0.0,4,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,3865,1640.0,1,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,Yes,10513,3850.0,2,180.0,0.0,Urban,N
Male,Yes,0,Graduate,No,6080,2569.0,2,360.0,1.0,Rural,N
Male,No,0,Graduate,Yes,20166,0.0,7,480.0,1.0,Urban,Y
Male,No,0,Graduate,No,2014,1929.0,1,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,2718,0.0,1,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,3459,0.0,1,120.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,4895,0.0,2,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4000,7750.0,3,360.0,1.0,Semiurban,N
Female,Yes,0,Graduate,No,4583,0.0,1,360.0,1.0,Rural,N
Male,Yes,2,Graduate,Yes,3316,3500.0,1,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,14999,0.0,3,360.0,0.0,Semiurban,N
Male,Yes,2,Not Graduate,No,4200,1430.0,2,360.0,1.0,Rural,N
Male,Yes,2,Graduate,No,5042,2083.0,2,360.0,1.0,Rural,N
Male,No,0,Graduate,No,5417,0.0,2,360.0,1.0,Urban,Y
Male,No,0,Graduate,Yes,6950,0.0,2,180.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2698,2034.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,11757,0.0,2,180.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,2330,4486.0,1,360.0,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,14866,0.0,1,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,1538,1425.0,1,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,10000,1666.0,3,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,4860,830.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,6277,0.0,2,360.0,0.0,Rural,N
Male,Yes,0,Graduate,Yes,2577,3750.0,2,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,9166,0.0,3,360.0,1.0,Urban,N
Male,Yes,2,Not Graduate,No,2281,0.0,2,360.0,1.0,Rural,N
Male,No,0,Graduate,No,3254,0.0,1,360.0,1.0,Urban,Y
Male,Yes,3+,Graduate,No,39999,0.0,6,180.0,0.0,Semiurban,Y
Male,Yes,1,Graduate,No,6000,0.0,2,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,9538,0.0,2,360.0,1.0,Urban,Y
Male,No,0,Graduate,Yes,2980,2083.0,2,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,4583,5625.0,3,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,1863,1041.0,1,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,7933,0.0,3,360.0,1.0,Urban,N
Male,Yes,1,Graduate,No,3089,1280.0,2,360.0,0.0,Semiurban,N
Male,Yes,2,Graduate,No,4167,1447.0,2,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,9323,0.0,1,180.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,3707,3166.0,2,0.0,1.0,Rural,Y
Female,Yes,0,Graduate,No,4583,0.0,2,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,2439,3333.0,2,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,2237,0.0,1,480.0,0.0,Semiurban,N
Male,Yes,2,Graduate,No,8000,0.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,1820,1769.0,1,360.0,1.0,Rural,Y
Male,Yes,3+,Graduate,No,51763,0.0,7,300.0,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,3522,0.0,1,180.0,1.0,Rural,N
Male,Yes,0,Graduate,No,5708,5625.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,4344,736.0,1,360.0,1.0,Semiurban,N
Male,Yes,0,Graduate,No,3497,1964.0,2,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,2045,1619.0,2,360.0,1.0,Rural,Y
Male,Yes,3+,Graduate,No,5516,11300.0,5,360.0,0.0,Semiurban,N
Male,Yes,1,Graduate,No,3750,0.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,2333,1451.0,2,480.0,0.0,Urban,N
Male,Yes,1,Graduate,No,6400,7250.0,2,360.0,0.0,Urban,N
Male,No,0,Graduate,No,1916,5063.0,1,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,4600,0.0,1,180.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,33846,0.0,3,360.0,1.0,Semiurban,N
Female,Yes,0,Graduate,No,3625,0.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,39147,4750.0,2,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,Yes,2178,0.0,1,300.0,0.0,Rural,N
Male,Yes,0,Graduate,No,2383,2138.0,1,360.0,1.0,Rural,Y
Female,Yes,0,Graduate,Yes,674,5296.0,2,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,9328,0.0,2,180.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,4885,0.0,1,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,12000,0.0,2,360.0,1.0,Semiurban,N
Male,Yes,0,Not Graduate,No,6033,0.0,2,360.0,1.0,Urban,N
Male,No,0,Graduate,No,3858,0.0,1,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,4191,0.0,2,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,3125,2583.0,2,360.0,1.0,Semiurban,N
Male,No,0,Graduate,No,8333,3750.0,2,360.0,1.0,Rural,Y
Female,No,0,Not Graduate,No,1907,2365.0,2,0.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,3416,2816.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,11000,0.0,1,360.0,1.0,Urban,N
Male,Yes,1,Not Graduate,No,2600,2500.0,1,360.0,1.0,Semiurban,Y
Male,No,2,Graduate,No,4923,0.0,2,360.0,0.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,3992,0.0,1,180.0,1.0,Urban,N
Male,Yes,1,Not Graduate,No,3500,1083.0,2,360.0,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,3917,0.0,2,360.0,1.0,Semiurban,Y
Female,No,0,Not Graduate,No,4408,0.0,2,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,3244,0.0,1,360.0,1.0,Urban,Y
Male,No,0,Not Graduate,No,3975,2531.0,1,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,2479,0.0,1,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,3418,0.0,2,360.0,1.0,Semiurban,N
Female,No,0,Graduate,No,10000,0.0,3,360.0,1.0,Semiurban,N
Male,Yes,3+,Graduate,No,3430,1250.0,2,360.0,0.0,Semiurban,N
Male,Yes,1,Graduate,Yes,7787,0.0,3,360.0,1.0,Urban,Y
Male,Yes,3+,Not Graduate,Yes,5703,0.0,2,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,3173,3021.0,2,360.0,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,3850,983.0,1,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,150,1800.0,2,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,3727,1775.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,5000,0.0,1,360.0,0.0,Semiurban,N
Female,Yes,2,Graduate,No,4283,2383.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2221,0.0,1,360.0,0.0,Urban,N
Male,Yes,2,Graduate,No,4009,1717.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,2971,2791.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,7578,1010.0,2,0.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6250,0.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3250,0.0,2,360.0,1.0,Rural,N
Male,Yes,2,Not Graduate,Yes,4735,0.0,2,360.0,1.0,Urban,N
Male,Yes,2,Graduate,No,6250,1695.0,3,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,4758,0.0,2,480.0,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,6400,0.0,2,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,2491,2054.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,3716,0.0,1,180.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,3189,2598.0,2,0.0,1.0,Rural,Y
Female,No,0,Graduate,No,8333,0.0,3,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,3155,1779.0,2,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,5500,1260.0,2,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,Yes,5746,0.0,3,360.0,1.0,Urban,N
Female,No,0,Graduate,Yes,3463,0.0,2,360.0,1.0,Urban,Y
Female,No,1,Graduate,No,3812,0.0,2,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,3315,0.0,1,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,5819,5000.0,2,360.0,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,2510,1983.0,2,180.0,1.0,Urban,N
Male,No,0,Graduate,No,2965,5701.0,2,60.0,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,6250,1300.0,2,360.0,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,3406,4417.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,6050,4333.0,2,180.0,1.0,Urban,N
Male,Yes,2,Graduate,No,9703,0.0,2,360.0,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,6608,0.0,2,180.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,2882,1843.0,2,480.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1809,1868.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,1668,3890.0,3,360.0,0.0,Semiurban,N
Female,No,2,Graduate,No,3427,0.0,2,360.0,1.0,Urban,N
Male,No,0,Not Graduate,Yes,2583,2167.0,2,360.0,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,2661,7101.0,3,180.0,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,16250,0.0,2,360.0,0.0,Urban,N
Female,No,3+,Graduate,No,3083,0.0,3,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,6045,0.0,2,360.0,0.0,Rural,N
Male,Yes,3+,Graduate,No,5250,0.0,1,360.0,1.0,Urban,N
Male,Yes,0,Graduate,No,14683,2100.0,4,360.0,1.0,Rural,N
Male,Yes,3+,Not Graduate,No,4931,0.0,2,360.0,1.0,Semiurban,N
Male,Yes,1,Graduate,No,6083,4250.0,4,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,2060,2209.0,2,360.0,1.0,Semiurban,Y
Female,No,1,Graduate,No,3481,0.0,2,36.0,1.0,Semiurban,N
Female,No,0,Graduate,No,7200,0.0,2,360.0,1.0,Rural,Y
Male,No,0,Graduate,Yes,5166,0.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,4095,3447.0,2,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,4708,1387.0,2,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4333,1811.0,2,360.0,0.0,Urban,Y
Female,No,0,Graduate,Yes,3418,0.0,2,360.0,1.0,Rural,N
Female,No,1,Graduate,No,2876,1560.0,1,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,3237,0.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,11146,0.0,2,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,2833,1857.0,2,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,2620,2223.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3900,0.0,1,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,2750,1842.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3993,3274.0,3,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3103,1300.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,14583,0.0,5,360.0,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,4100,0.0,2,360.0,1.0,Rural,Y
Male,No,1,Not Graduate,Yes,4053,2426.0,2,360.0,0.0,Urban,N
Male,Yes,0,Graduate,No,3927,800.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,2301,985.7999878,1,180.0,1.0,Urban,Y
Female,No,0,Graduate,No,1811,1666.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,20667,0.0,1,360.0,1.0,Rural,N
Male,No,0,Graduate,No,3158,3053.0,1,360.0,1.0,Rural,Y
Female,No,0,Graduate,Yes,2600,1717.0,1,300.0,1.0,Semiurban,N
Male,Yes,0,Graduate,No,3704,2000.0,2,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,4124,0.0,2,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,9508,0.0,2,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,3075,2416.0,2,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,4400,0.0,2,360.0,0.0,Semiurban,N
Male,Yes,2,Graduate,No,3153,1560.0,2,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,5417,0.0,2,480.0,0.0,Urban,N
Male,Yes,0,Graduate,No,2383,3334.0,2,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,Yes,4416,1250.0,2,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,6875,0.0,2,360.0,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,4666,0.0,2,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,5000,2541.0,2,480.0,1.0,Rural,N
Male,Yes,1,Graduate,No,2014,2925.0,2,360.0,1.0,Urban,N
Male,Yes,0,Not Graduate,No,1800,2934.0,1,360.0,0.0,Urban,N
Male,Yes,2,Not Graduate,No,2875,1750.0,2,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,5000,0.0,2,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,1625,1803.0,1,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,4000,2500.0,2,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,2000,0.0,1,360.0,1.0,Urban,N
Female,No,0,Graduate,No,3762,1666.0,2,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,2400,1863.0,2,360.0,0.0,Urban,N
Male,No,0,Graduate,No,20233,0.0,5,360.0,1.0,Rural,N
Male,Yes,2,Not Graduate,No,7667,0.0,2,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,2917,0.0,1,360.0,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,2927,2405.0,2,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,2507,0.0,1,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,Yes,5746,0.0,2,84.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,2473,1843.0,2,360.0,1.0,Rural,N
Male,Yes,1,Not Graduate,No,3399,1640.0,2,180.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,3717,0.0,2,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2058,2134.0,1,360.0,1.0,Urban,Y
Female,No,1,Graduate,No,3541,0.0,2,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,Yes,10000,0.0,2,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,2400,2167.0,2,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4342,189.0,2,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,3601,1590.0,1,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,3166,2985.0,2,360.0,1.0,Rural,Y
Male,Yes,3+,Graduate,No,15000,0.0,3,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,Yes,8666,4983.0,4,360.0,0.0,Rural,N
Male,No,0,Graduate,No,4917,0.0,2,360.0,0.0,Rural,Y
Male,Yes,0,Graduate,Yes,5818,2160.0,2,360.0,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,4333,2451.0,2,360.0,1.0,Urban,N
Female,No,0,Graduate,No,2500,0.0,1,360.0,1.0,Urban,Y
Male,No,1,Graduate,No,4384,1793.0,2,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,2935,0.0,1,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,2833,0.0,1,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,Yes,63337,0.0,5,180.0,1.0,Urban,Y
Male,Yes,1,Graduate,Yes,9833,1833.0,2,180.0,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,5503,4490.0,1,0.0,1.0,Semiurban,Y
